Outlier,Set,Scaler,Classifier,Avg Train Accuracy,Avg Validation Accuracy,Avg ROC AUC,Avg Full Overfitting,Avg ConfMat_TN,Avg ConfMat_FP,Avg ConfMat_FN,Avg ConfMat_TP,Prec_Ben,Prec_Mal,F1,Lowest Accuracy,External Test Accuracy
isoforest,Aggressive_Feature_Set.csv,MinMaxScaler,XGBoost,0.9658845133646194,0.910061291092892,0.9687180546242681,0.04516459022606991,2234,181,484,4495,0.9029684288135955,0.9249439753407962,0.8702361615992787,0.9006085192697769,0.9773017662532884
none,Aggressive_Feature_Set.csv,RobustScaler,RandomForest,0.919701366133992,0.8580786194566163,0.9370754189998888,0.0223116123736933,2319,632,428,4090,0.9052699032778102,0.7862388523610879,0.8140614805037261,0.8472873409243135,0.9652762119503946
iqr,Aggressive_Feature_Set.csv,RobustScaler,RandomForest,0.9478250689453326,0.8326026604973974,0.913238870548607,0.9541269619718209,530,238,143,1365,0.905526804415245,0.6901136088129906,0.7352477025898079,0.8131868131868132,0.5863960916948516
zscore,Aggressive_Feature_Set.csv,RobustScaler,RandomForest,0.9235934726038634,0.8502746445632908,0.9337362138869583,0.8848049089115838,1741,612,285,3353,0.9217214955188616,0.7403231151045521,0.7952339399840531,0.832220367278798,0.5392709507703871
isoforest,Aggressive_Feature_Set.csv,RobustScaler,RandomForest,0.9202394297853808,0.854881191896291,0.935584708062532,0.024546012482330525,2286,641,432,4035,0.9034883799721041,0.7810515279392387,0.8098015859939641,0.8438133874239351,0.9650507328072153
none,Aggressive_Feature_Set.csv,RobustScaler,LogisticRegression,0.8234702772036542,0.8177785488908077,0.8960155883448465,0.14150525955718432,2243,857,504,3865,0.8846711898976796,0.7236665147311447,0.7672395915980704,0.8057602143335566,0.9067267944381812
iqr,Aggressive_Feature_Set.csv,RobustScaler,LogisticRegression,0.9235503376360048,0.913439367649894,0.9741588503054132,0.04162337916878649,634,158,39,1445,0.973855979503146,0.8011320641927433,0.8656082587234863,0.8967032967032967,0.9528748590755356
zscore,Aggressive_Feature_Set.csv,RobustScaler,LogisticRegression,0.8679687562586924,0.8649641256417075,0.9390378531852057,0.14343290384045146,1767,550,259,3415,0.9296699457236282,0.7630701936803279,0.8137225172351595,0.8430717863105175,0.9446824502066893
isoforest,Aggressive_Feature_Set.csv,RobustScaler,LogisticRegression,0.8225925652856532,0.8155235086428767,0.8943145503792096,0.14902352793059967,2220,866,498,3810,0.8844902851308192,0.719660916333682,0.76500645918955,0.7963464140730717,0.9162720781661029
none,Aggressive_Feature_Set.csv,RobustScaler,SVC,0.6610991469364207,0.6609977305964201,0.7860997963250826,0.3173391690628985,233,18,2514,4704,0.6517089398894271,0.9271157153044427,0.15533228746596386,0.6530475552578701,0.5025178504321683
iqr,Aggressive_Feature_Set.csv,RobustScaler,SVC,0.8291952254225731,0.792168883747831,0.9117889450075685,0.7166869916931312,589,389,84,1214,0.9358045588607894,0.6031245941272999,0.7135734451476731,0.778021978021978,0.5270199173243142
zscore,Aggressive_Feature_Set.csv,RobustScaler,SVC,0.701176285881574,0.6998859650710596,0.7880013680183267,0.48308671068715353,1463,1235,563,2730,0.8319405889427648,0.5470933003960641,0.6185597313106421,0.664440734557596,0.4624577226606538
isoforest,Aggressive_Feature_Set.csv,RobustScaler,SVC,0.6604003527548542,0.6604008669867089,0.7847163021818196,0.31478741412640715,226,19,2492,4657,0.6514317773779632,0.923258877362651,0.15236162814720486,0.6544962812711291,0.5030439684329199
none,Aggressive_Feature_Set.csv,RobustScaler,KNeighbors,0.8721716433376463,0.8130922439478834,0.8785335323832747,0.6969213707700534,1836,485,911,4237,0.8230928241877391,0.7910640709529132,0.7244597829949325,0.7990622906898861,0.5588876362269823
iqr,Aggressive_Feature_Set.csv,RobustScaler,KNeighbors,0.851712982240165,0.7653788316946211,0.8191084228175495,0.7290310657962612,342,203,331,1400,0.8088756565224013,0.6275357326045017,0.5613526260206687,0.7472527472527473,0.5460353250657648
zscore,Aggressive_Feature_Set.csv,RobustScaler,KNeighbors,0.8662159914622289,0.7961921523361845,0.8569612254462452,0.7560822782699692,1253,448,773,3517,0.8198188454906645,0.7377129873563042,0.6725118860768957,0.7729549248747913,0.5237128898910184
isoforest,Aggressive_Feature_Set.csv,RobustScaler,KNeighbors,0.8708749486327892,0.8117384474204034,0.8774138294498914,0.6749938768695461,1816,490,902,4186,0.8228354190936209,0.7876498974829171,0.7227820489642286,0.8005409060175794,0.5682074408117249
none,Aggressive_Feature_Set.csv,RobustScaler,GradientBoosting,0.9170904650680827,0.8848557884137577,0.9495201035807532,0.07548593398365484,2108,221,639,4501,0.8757423096128963,0.9051807373549279,0.830504357509153,0.8727394507702613,0.9737692596768133
iqr,Aggressive_Feature_Set.csv,RobustScaler,GradientBoosting,0.9706720133244021,0.8892847503373819,0.9531913868697357,0.2625659382641598,498,77,175,1526,0.8972803611068038,0.8665647129922327,0.7978361275857424,0.8771929824561403,0.8904922961292746
zscore,Aggressive_Feature_Set.csv,RobustScaler,GradientBoosting,0.9270156603588916,0.8908373839635422,0.9514069460329116,0.11110399771440996,1544,172,482,3793,0.8873525784235688,0.8996234744886218,0.8250477571737995,0.8797996661101837,0.9070274332957535
isoforest,Aggressive_Feature_Set.csv,RobustScaler,GradientBoosting,0.9174330625945541,0.8847707325195955,0.949329868450407,0.0823400152357449,2091,225,627,4451,0.8767163754563942,0.902594934456032,0.8304708142512129,0.8647734956051386,0.9754979331078542
none,Aggressive_Feature_Set.csv,RobustScaler,MLPClassifier,0.9395832647185675,0.9116350196499325,0.9621481935756002,0.0668799643142228,2340,253,407,4469,0.9166137862295983,0.9024016174086334,0.8763259735618973,0.891566265060241,0.9890266816986095
iqr,Aggressive_Feature_Set.csv,RobustScaler,MLPClassifier,0.999890170236134,0.9393686138422981,0.9763378561932464,0.1524477067120265,591,56,82,1547,0.9499965554533938,0.9132045402516041,0.8948853055243357,0.9098901098901099,0.9608417888012026
zscore,Aggressive_Feature_Set.csv,RobustScaler,MLPClassifier,0.9777162333634155,0.9392431923653684,0.9778900568197724,0.021966186076638715,1800,138,226,3827,0.9444741913060544,0.9287506125884978,0.9079011419672657,0.9223706176961602,0.9868470499812101
isoforest,Aggressive_Feature_Set.csv,RobustScaler,MLPClassifier,0.9421830793121166,0.9114130986723465,0.9617710075791381,0.053672579262866324,2310,247,408,4429,0.9157417023558487,0.9034334166545696,0.8757514080343581,0.8985801217038539,0.9853438556933483
none,Aggressive_Feature_Set.csv,RobustScaler,XGBoost,0.9650220743504002,0.9073478105321486,0.9684746200001904,0.02690638691928262,2251,196,496,4526,0.9013819668094888,0.9200023570432659,0.8666146809668398,0.8881446751507033,0.9839909808342728
iqr,Aggressive_Feature_Set.csv,RobustScaler,XGBoost,0.9963751953702531,0.9037806053595527,0.966219985224449,0.2528008244190005,524,70,149,1533,0.9116366745312113,0.8821098738423551,0.8267168112215423,0.8857142857142857,0.9169485155956407
zscore,Aggressive_Feature_Set.csv,RobustScaler,XGBoost,0.9784677031438795,0.9157068842844831,0.9709340494454495,0.11116559756354025,1673,152,353,3813,0.9153178331820042,0.916928520596548,0.868838924723395,0.9081803005008348,0.9567831642239758
isoforest,Aggressive_Feature_Set.csv,RobustScaler,XGBoost,0.9654449929329006,0.90952056806111,0.9685030317114423,0.048370216825528486,2239,190,479,4486,0.9036339515350973,0.9216598969954083,0.869883140442283,0.8951994590939825,0.9751221345358887
none,Raw_Feature_Set.csv,MinMaxScaler,RandomForest,0.9192662757025312,0.8525894603195099,0.931584728054303,0.5669154923048068,2300,654,447,4068,0.9010839411074849,0.7785615821510323,0.8067964666317117,0.8420348058902276,0.6797444569710634
iqr,Raw_Feature_Set.csv,MinMaxScaler,RandomForest,0.9332861897482037,0.8225028447039033,0.8958896633039004,1.0580020980844884,512,266,171,1513,0.8984935295378366,0.6584261633364626,0.7009290350052224,0.8130081300813008,0.4600526118000752
zscore,Raw_Feature_Set.csv,MinMaxScaler,RandomForest,0.9138501970369228,0.8416181545839118,0.9232472686658599,0.9295453639977327,1684,634,322,3396,0.913372923635599,0.726906571054019,0.779039549031072,0.8326429163214581,0.48680947012401354
isoforest,Raw_Feature_Set.csv,MinMaxScaler,RandomForest,0.9195971038895052,0.851368047568988,0.9324732679170882,0.7922034219349279,2263,655,444,4032,0.9008250018311287,0.775789337216441,0.8046724498077822,0.8356997971602435,0.5768508079669297
none,Raw_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7558908381083609,0.7559221929019942,0.8480511901691704,0.46485065964180333,2278,1354,469,3368,0.8778869796017774,0.6271879931575488,0.7141650279882957,0.7387809778968519,0.5242390078917699
iqr,Raw_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.8467710425297698,0.8354977819555071,0.9398781028081157,0.7683253042959594,625,347,58,1432,0.961075328708006,0.6432061587487091,0.7553565931253912,0.8272357723577236,0.4699736940999625
zscore,Raw_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.8129968107280595,0.8078210987780992,0.9093240335330703,0.5697638467469288,1738,892,268,3138,0.9214328298788296,0.661108036857217,0.7498123198647295,0.7996688741721855,0.5315295001878994
isoforest,Raw_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7649107225016103,0.7631858193326325,0.8576163040433187,0.49419197011883514,2256,1300,451,3387,0.8825564224143662,0.6347825424599647,0.7205033304963654,0.7545638945233266,0.5230364524614807
none,Raw_Feature_Set.csv,MinMaxScaler,SVC,0.7474894333260517,0.7432032214591789,0.8553104621398745,0.32203847198008123,2302,1473,445,3249,0.8796304061651543,0.6099446506473114,0.7059269114122502,0.7280643000669792,0.5924088688462984
iqr,Raw_Feature_Set.csv,MinMaxScaler,SVC,0.8017866267243802,0.788781971998219,0.9222578279801299,0.6966230040035575,622,459,61,1320,0.9558779480185468,0.5758193646554485,0.7053476101184893,0.7682926829268293,0.46005261180007506
zscore,Raw_Feature_Set.csv,MinMaxScaler,SVC,0.7895957401799367,0.7808158260039395,0.9099360656049098,0.06073210039084851,1757,1074,249,2956,0.9224502585709722,0.6209005328442607,0.7265211394824993,0.7663628831814416,0.829086809470124
isoforest,Raw_Feature_Set.csv,MinMaxScaler,SVC,0.760954798569091,0.7548006781453658,0.8665761827782227,0.3727837476257929,2289,1395,418,3292,0.8873903921331561,0.6215640778442328,0.7163711117260173,0.7396889790398918,0.5825629462608042
none,Raw_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8614941103325435,0.7964896424277148,0.8593619874917303,0.7614613093891567,1724,497,1023,4225,0.8050665806196319,0.776729512858503,0.6940903393270487,0.7776289350301406,0.5163472378804961
iqr,Raw_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8535745682443354,0.779045663681789,0.8108895798542104,0.7589798073045056,352,213,331,1566,0.8255667001385966,0.6247067882825701,0.5641219279756808,0.7626774847870182,0.5412251033446072
zscore,Raw_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8632371341812094,0.7995365061424253,0.8495270379290469,0.8350452458938751,1193,397,813,3633,0.8172334569174815,0.750392705568486,0.6633223140129038,0.792046396023198,0.4790680195415257
isoforest,Raw_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8631322824987983,0.7971335274812645,0.8586108539932729,0.8478063489516205,1679,472,1028,4215,0.8039979999776727,0.7812373493293767,0.6911840622310028,0.7910750507099391,0.4871101089815859
none,Raw_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9159858457540062,0.8841868926924488,0.9534379417719002,0.17169999443804057,2206,324,541,4398,0.890574516034814,0.8721117868604139,0.8359934208437523,0.8760884125920965,0.896880871852687
iqr,Raw_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9614138950690011,0.877342139547156,0.9457877801930576,0.37683565990261275,489,108,194,1671,0.8960446948052463,0.8192612307979843,0.7639893207313652,0.8617886178861789,0.8461480646373545
zscore,Raw_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.922672405377412,0.8861825608892937,0.9521152352258866,0.8909289806845058,1580,261,426,3769,0.8984745819813653,0.8586411821504368,0.8214644252961933,0.8707539353769677,0.5546035325065765
isoforest,Raw_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9173654150499212,0.8857196968657279,0.9548598362112756,0.03305136194935028,2160,298,547,4389,0.8892488484494973,0.8787914075903759,0.8363360442841365,0.8708586883029074,0.9470124013528748
none,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9575911512157417,0.9384109333067927,0.9817144599453534,0.2830284354099549,2482,195,265,4527,0.9448883257059835,0.9279958818819406,0.9152304154751109,0.9296718017414601,0.8268320180383315
iqr,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.969842044068854,0.9455713319810682,0.9850651661815005,0.7801141388200072,611,62,72,1717,0.9599793724004944,0.9089578060366206,0.9009522948136028,0.9390243902439024,0.6331454340473506
zscore,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9647532950863184,0.946983792117724,0.9860939835269178,0.7926725606346545,1824,138,182,3892,0.9556569204874995,0.9307381545741364,0.9192156009304767,0.9420049710024855,0.5986471251409244
isoforest,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9575669516939607,0.9398168861123845,0.9825731343712336,0.4668937397323685,2478,216,229,4471,0.951606096788803,0.9210634018206484,0.9176278706766953,0.9344151453684922,0.7733183013904548
none,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9726870494530424,0.9148457191122159,0.972991875407971,0.39359498580459623,2340,229,407,4493,0.9170311130609171,0.9107808851905898,0.8802474711897581,0.8975217682518419,0.8048102217211575
iqr,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9979691822229325,0.9045539999010538,0.9628334304775492,0.8244907132465114,532,84,151,1695,0.9182221023693428,0.8641620593310151,0.8191720157237399,0.8943089430894309,0.6614806463735439
zscore,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9814032110267246,0.9150088885474906,0.9716894940900407,1.007028628786723,1680,187,326,3843,0.9218362929737376,0.9000550693552636,0.867539672825003,0.9072079536039768,0.511837655016911
isoforest,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9733230513180583,0.9152015451320745,0.9731243452224134,0.8881948917984251,2292,212,415,4475,0.9151663656424629,0.91541527250129,0.8796551579611236,0.9066937119675457,0.5708380308154828
none,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.9193332213092258,0.8527233291280775,0.9315777890309704,0.5684856546041845,2301,654,446,4068,0.9012793549143148,0.7786408838263537,0.807009790650312,0.8427041499330656,0.6793686583990981
iqr,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.9332861897482037,0.8225028447039033,0.8959019654444729,1.0580020980844884,512,266,171,1513,0.8984935295378366,0.6584261633364626,0.7009290350052224,0.8130081300813008,0.4600526118000752
zscore,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.9138501970369228,0.8416181545839118,0.9232460310650727,0.9295453639977327,1684,634,322,3396,0.913372923635599,0.726906571054019,0.779039549031072,0.8326429163214581,0.48680947012401354
isoforest,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.919495678295803,0.8512328210645931,0.9324393679360897,0.7903808579415686,2263,656,444,4031,0.9008061488684316,0.7755084975493425,0.8045237486678491,0.8356997971602435,0.5779030439684328
none,Raw_Feature_Set.csv,RobustScaler,LogisticRegression,0.8990829818576959,0.8962362510995086,0.9552531745385778,0.5940228410350219,2448,476,299,4246,0.9341941111771888,0.8374108909312149,0.8633991392119812,0.8795180722891566,0.6072153325817362
iqr,Raw_Feature_Set.csv,RobustScaler,LogisticRegression,0.9514623878234462,0.9427323999406323,0.9872515140024587,0.6635525463181315,656,114,27,1665,0.9841290820224635,0.8533996103389224,0.9032711185810516,0.9249492900608519,0.6278842540398347
zscore,Raw_Feature_Set.csv,RobustScaler,LogisticRegression,0.9321570880706748,0.9287599378899026,0.977984835265022,0.8806387971977326,1862,286,144,3744,0.9629818979690258,0.8669881605373007,0.8965035561698456,0.9171499585749793,0.49462608042089445
isoforest,Raw_Feature_Set.csv,RobustScaler,LogisticRegression,0.9010348828370361,0.8961313142680432,0.9560799365553828,0.6283186931307014,2407,468,300,4219,0.9337113945087685,0.8377540814305521,0.862486465392533,0.8884381338742393,0.5976700488538143
none,Raw_Feature_Set.csv,RobustScaler,SVC,0.8326079996415228,0.8175114389238131,0.9190973825668532,0.7205981669154491,2376,992,371,3730,0.9097087545355518,0.7056482192377513,0.7770740027498236,0.8104487608841259,0.4832018038331454
iqr,Raw_Feature_Set.csv,RobustScaler,SVC,0.8523562425720496,0.8249311499200184,0.9323795090097127,0.8131597499118761,605,353,78,1426,0.9481856286659859,0.6318709526011007,0.7374271189945603,0.806910569105691,0.4605035700864337
zscore,Raw_Feature_Set.csv,RobustScaler,SVC,0.8806742541909272,0.8613322122058411,0.9505297577876721,0.8587063339069625,1779,610,227,3420,0.9377608339635415,0.7448028708435255,0.8095945750032938,0.8508699254349628,0.46110484780157834
isoforest,Raw_Feature_Set.csv,RobustScaler,SVC,0.8415606830367324,0.8298630076826587,0.9265630864412447,0.7566003266586545,2370,921,337,3766,0.9179200752114953,0.7205268435224993,0.7903475314698669,0.8154158215010142,0.47004885381435557
none,Raw_Feature_Set.csv,RobustScaler,KNeighbors,0.8695943046943702,0.8080051395580087,0.8724270761334914,0.7986733025220957,1787,474,960,4248,0.8157382482096891,0.7901554395172916,0.7135162207775965,0.7983924983255191,0.5046223224351747
iqr,Raw_Feature_Set.csv,RobustScaler,KNeighbors,0.8472780380156383,0.7688880093669092,0.7988265652817625,0.7727206255368267,324,210,359,1569,0.8138244485155635,0.6070965125270739,0.5323846180423965,0.7642276422764228,0.52423900789177
zscore,Raw_Feature_Set.csv,RobustScaler,KNeighbors,0.8629058455345131,0.7889338955431067,0.8494508939248979,0.8685547797301059,1179,447,827,3583,0.812493372021913,0.7251353442964662,0.6491923997731872,0.7746478873239436,0.4656895903795566
isoforest,Raw_Feature_Set.csv,RobustScaler,KNeighbors,0.8674264670161065,0.804842078682063,0.872265247109369,0.8347917004196201,1751,487,956,4200,0.8146024436274558,0.7826270063330939,0.708191169427641,0.7978363759296823,0.48590755355129644
none,Raw_Feature_Set.csv,RobustScaler,GradientBoosting,0.9159858457540062,0.8841868926924488,0.9534379417719002,0.17169999443804057,2206,324,541,4398,0.890574516034814,0.8721117868604139,0.8359934208437523,0.8760884125920965,0.896880871852687
iqr,Raw_Feature_Set.csv,RobustScaler,GradientBoosting,0.9614138950690011,0.877342139547156,0.9457877801930576,0.37683565990261275,489,108,194,1671,0.8960446948052463,0.8192612307979843,0.7639893207313652,0.8617886178861789,0.8461480646373545
zscore,Raw_Feature_Set.csv,RobustScaler,GradientBoosting,0.922672405377412,0.8861825608892937,0.9521152352258866,0.8909289806845058,1580,261,426,3769,0.8984745819813653,0.8586411821504368,0.8214644252961933,0.8707539353769677,0.5546035325065765
isoforest,Raw_Feature_Set.csv,RobustScaler,GradientBoosting,0.9173654150499212,0.8857196968657279,0.9548598362112756,0.03305136194935028,2160,298,547,4389,0.8892488484494973,0.8787914075903759,0.8363360442841365,0.8708586883029074,0.9470124013528748
none,Raw_Feature_Set.csv,RobustScaler,MLPClassifier,0.9954144723944592,0.958225848246749,0.9853565793232251,0.2941581176025439,2547,112,200,4610,0.9584897348400983,0.9579098410670582,0.9422307844797718,0.9470864032150034,0.8752348741074784
iqr,Raw_Feature_Set.csv,RobustScaler,MLPClassifier,1.0,0.9569534458022065,0.9878220724863459,0.4608594065089548,619,42,64,1737,0.9645067093447166,0.93655078669676,0.9211081822848959,0.9452332657200812,0.8032318677189026
zscore,Raw_Feature_Set.csv,RobustScaler,MLPClassifier,0.9997514841892645,0.9589131007313849,0.9891765053620286,0.34346047998372187,1851,93,155,3937,0.962172916675604,0.952404737835286,0.9372097533781499,0.9511184755592378,0.8605787298008268
isoforest,Raw_Feature_Set.csv,RobustScaler,MLPClassifier,0.9981404641023927,0.9607796475876524,0.988030329679181,0.1114320491163687,2544,127,163,4560,0.9656261233907081,0.9526008635942999,0.9460056805779665,0.9519945909398242,0.9635475385193537
none,Raw_Feature_Set.csv,RobustScaler,XGBoost,0.9726870494530424,0.9148457191122159,0.972991875407971,0.39359498580459623,2340,229,407,4493,0.9170311130609171,0.9107808851905898,0.8802474711897581,0.8975217682518419,0.8048102217211575
iqr,Raw_Feature_Set.csv,RobustScaler,XGBoost,0.9979691822229325,0.9045539999010538,0.9628334304775492,0.8244907132465114,532,84,151,1695,0.9182221023693428,0.8641620593310151,0.8191720157237399,0.8943089430894309,0.6614806463735439
zscore,Raw_Feature_Set.csv,RobustScaler,XGBoost,0.9814032110267246,0.9150088885474906,0.9716894940900407,1.007028628786723,1680,187,326,3843,0.9218362929737376,0.9000550693552636,0.867539672825003,0.9072079536039768,0.511837655016911
isoforest,Raw_Feature_Set.csv,RobustScaler,XGBoost,0.9733230513180583,0.9152015451320745,0.9731243452224134,0.8881948917984251,2292,212,415,4475,0.9151663656424629,0.91541527250129,0.8796551579611236,0.9066937119675457,0.5708380308154828
